name,active,waitTime,status,longitude,latitude
Prince Charming Regal Carrousel,TRUE,5,Operating,-81.581255,28.420169
The Barnstormer,TRUE,5,Operating,-81.5783907473,28.4207661576
Astro Orbiter,TRUE,5,Operating,-81.5789887902,28.4184926179
Casey Jr. Splash 'N' Soak Station,FALSE,3,Operating,-81.5786757124,28.4209221723
Walt Disney World Railroad - Fantasyland,FALSE,1,Operating,-81.578368,28.420934
Walt Disney World Railroad - Frontierland,FALSE,6,Operating,-81.585078,28.41969
Buzz Lightyear's Space Ranger Spin,TRUE,5,Operating,-81.5794086456,28.4182868839
"""it's a small world""",TRUE,5,Operating,-81.5820392026,28.4204816402
Jungle Cruise,TRUE,10,Operating,-81.5834393157,28.41797818
Pirates of the Caribbean,TRUE,10,Operating,-81.584225,28.4179699
Dumbo the Flying Elephant,TRUE,5,Operating,-81.5789473057,28.420509033
The Magic Carpets of Aladdin,TRUE,5,Operating,-81.583472,28.41843
Mickey's PhilharMagic,FALSE,13,Operating,-81.5814839853,28.4200304909
The Many Adventures of Winnie the Pooh,TRUE,10,Operating,-81.580266,28.420212
Tom Sawyer Island,FALSE,11,Operating,-81.58428,28.419503
The Hall of Presidents,FALSE,12,Operating,-81.5823248578,28.4194484171
Tomorrowland Transit Authority PeopleMover,TRUE,5,Operating,-81.579033,28.418155
Main Street Vehicles,FALSE,9,Operating,-81.5815081252,28.4168698711
Horses - Disney Animals,FALSE,10,Operating,-81.581216,28.417436
Swiss Family Treehouse,TRUE,11,Operating,-81.5827982677,28.4184325517
Walt Disney's Carousel of Progress,FALSE,7,Operating,-81.5790083064,28.4180310951
Walt Disney's Enchanted Tiki Room,FALSE,9,Operating,-81.583738382,28.4182264646
Cinderella Castle,FALSE,10,Operating,-81.5811809,28.4194549043
Country Bear Jamboree,FALSE,14,Operating,-81.5837222887,28.4187861348
"Walt Disney World Railroad - Main Street, U.S.A.",FALSE,45,Operating,-81.581204,28.416543
Big Thunder Mountain Railroad,TRUE,5,Operating,-81.5846422864,28.4199638504
Seven Dwarfs Mine Train,TRUE,40,Operating,-81.58031,28.42037
Tomorrowland Speedway,TRUE,21,Operating,-81.579302,28.419368
Splash Mountain,TRUE,5,Operating,-81.58498,28.419418
Liberty Square Riverboat,FALSE,12,Operating,-81.5827982677,28.4195563399
Frontierland Shootin' Arcade,FALSE,18,Operating,-81.5832274211,28.4187637244
Peter Pan's Flight,TRUE,25,Operating,-81.5818916811,28.4202640272
Space Mountain,TRUE,10,Operating,-81.5781962872,28.4188341691
Haunted Mansion,TRUE,13,Operating,-81.58288,28.4202
Monsters Inc. Laugh Floor,TRUE,10,Operating,-81.5797358751,28.4183977566
Enchanted Tales with Belle,FALSE,12,Operating,-81.58093,28.4209906
A Pirate's Adventure ~ Treasures of the Seven Seas,FALSE,13,Operating,-81.584669,28.4183725
Under the Sea ~ Journey of The Little Mermaid,TRUE,5,Operating,-81.579975,28.4211203
